,TCGA-A2-A0YK,TCGA-AO-A03R,TCGA-AO-A03T,TCGA-AO-A03U,TCGA-AO-A0JB,TCGA-AR-A1AO,TCGA-B6-A0IE,TCGA-E2-A108
NOTCH2,0.71325,0.48775,0.11599999999999999,0.0225,-0.34375,0.32799999999999996,0.32425,0.97575
RRAGC,0.35625,0.07025,0.01375,0.821,-0.2085,1.156,0.13425,1.526
MYC,-0.755875,0.2451875,-1.03133333333333,-0.9813125,-0.441625,-1.06075,-1.82475,-0.830375
WNT16,-0.06833333,0.6458,0.106833333333333,0.2738,0.7224,1.18216666666667,-0.4615,0.3935
SNW1,-0.088875,-0.273375,-1.25125,-0.306,-0.937375,-0.355125,-0.63775,-0.060375
SMURF2,-1.04725,-1.3905,-1.485,0.30575,-1.19075,-0.1845,-0.79375,-0.16725
DHH,0.083,-0.25,0.235,0.0435,0.599,0.34600000000000003,0.0855,-0.3605
THBS1,1.88825,1.36,2.156375,2.17075,2.650375,1.891375,1.95475,2.370125
CHEK2,-1.187875,-0.457,-1.00225,-1.50725,-0.783375,0.083625,-0.436375,-0.8395
PPP2CA,-0.1308,-0.7161,-0.9032,0.23,-1.5894,0.2431,-1.3968,0.1418
GAS1,1.4909999999999999,0.38975,0.1105,1.24475,1.22575,2.1405,0.68825,2.27475
NBL1,1.1075,-0.34125,2.56375,0.3065,0.81125,0.8315,0.7609999999999999,0.86725
CDKN1A,0.3571429,-0.196714285714286,0.8297857142857141,1.08992857142857,-0.9380714285714291,0.4186428571428571,-1.3972142857142902,0.3960714286
POLD1,-1.5490000000000002,-1.167,-1.4203333333333301,-1.8921666666666699,-0.4853333333333329,-1.8076666666666699,-1.8103333333333302,-1.785
DCN,3.421625,0.447,0.567375,2.778125,0.568625,4.375375,1.800375,4.05825
BRAF,-0.20025,0.01875,0.18275,0.38625,0.14375,-0.30575,0.20825,-0.34375
AMHR2,-2.786833,-2.8821666666666697,-2.85483333333333,-2.90383333333333,-2.05216666666667,-2.36316666666667,-2.0125,-1.6333333333000002
BID,-0.5545,-1.87675,-0.466125,0.3095,-1.598875,0.646625,0.21025,0.28625
ID3,-0.0871,-0.5775,-0.8874,-0.8121,0.1625,0.2173,-1.31777777777778,-0.0118
RFWD2,0.7638333,0.6023333333333329,0.301,-0.11233333333333301,0.24100000000000002,0.419,0.654166666666667,0.2953333333
MAML2,0.958,-0.1675,-0.4775,0.9890000000000001,-0.36975,0.263,-1.78475,0.8285
PPP3R2,0.03316667,0.0736,0.4464,0.11800000000000001,-0.2746,0.54875,-0.36875,0.0525
FAS,1.1475,0.000500000000000004,0.392125,1.981375,-1.10975,1.5665,-0.876375,1.658375
TP73,-0.25525,0.275625,-0.134125,-0.14,0.063125,-0.30375,-0.575,-0.571875
APAF1,-1.1745,-1.345,-1.1525,-0.9325,-1.4275,-0.8975,-0.6735,-0.018000000000000002
ACVR1C,2.775,1.4233333333333302,0.304166666666667,-0.566833333333333,-0.5205,1.12833333333333,-0.0802,3.3006666667
RBX1,-0.24600000000000002,-0.2985,0.055999999999999994,-0.3915,-1.264,0.3825,-0.316,0.02825
ATM,-0.2906667,-1.371,-1.72225,-1.72025,-1.1683333333333301,-1.7029166666666697,-1.02666666666667,-0.70275
CASP7,0.711125,2.015875,0.373125,1.019375,0.149,0.963875,1.079625,1.57125
DLL3,-1.935,-1.65725,-1.344875,-1.273,-1.4505,-1.72071428571429,-1.0395,-1.880625
FASLG,4.513417,1.21590909090909,0.710416666666667,3.58625,1.23633333333333,4.66833333333333,1.5991,4.799166666700001
PRKAR2B,1.545875,0.747625,0.56875,1.566875,-1.8344285714285702,-0.993625,-2.153625,0.606125
DFFA,-0.81725,-0.20425,-0.302375,-0.364875,0.22325,-0.210125,-0.132125,-0.413375
DDIT4,-1.2056,-0.5276,-0.8435,0.1307,-0.5572,-1.0258,-0.8812,-0.5678
PIK3CG,0.1653333,-1.24133333333333,-1.202,1.8296666666666699,-2.7505,0.28066666666666695,-1.6195,1.2085
TFDP1,-0.9009999999999999,-0.852666666666667,-1.10733333333333,-0.556666666666667,-0.7183333333333329,-1.29933333333333,-1.4603333333333302,-0.6695
NODAL,-0.01966667,-0.155666666666667,-0.27983333333333305,0.250666666666667,-0.257333333333333,-0.57,-0.46925,0.0643333333
WNT8A,-0.40325,0.35200000000000004,0.24875,-0.67025,0.5720000000000001,-1.265,0.66075,-0.10875
TNFRSF10B,-1.329625,-2.385625,-1.57225,0.148875,-1.0805,-0.7155,-1.5985,-0.768125
ACVR2B,-1.467143,-0.968142857142857,-1.36171428571429,-1.78064285714286,-0.115428571428571,-1.9379285714285701,-0.834857142857143,-1.3945
SUFU,0.6408333,0.7255,0.28383333333333305,0.6909166666666671,0.76025,0.903166666666667,-0.113,0.5905833333
AKT1,0.124,0.1,-1.175375,-0.09300000000000001,-0.239375,-0.424625,-1.910125,-0.932
